,6,target
53464,2.6457513110645907,7.432066200918697
38609,8.306623862918075,69.45332686089868
87405,3.741657386773941,14.885761329844826
86216,4.242640687119285,18.32751699323194
85567,8.18535277187245,67.4599642742764
38976,6.855654600401044,47.72098563934003
59361,9.16515138991168,84.74062762596172
21890,6.855654600401044,47.79161358908265
53271,-6.557438524302,43.99412192390962
27205,-7.14142842854285,51.29406467544905
7971,7.3484692283495345,54.042737897365214
34609,-2.0,4.823803237274538
35998,4.69041575982343,22.633283306070005
8183,3.605551275463989,13.865634636612112
73351,8.366600265340756,70.46246416738165
1598,-8.54400374531753,73.12700338914483
21207,-9.69535971483266,94.307853494127
20492,-6.244997998398398,39.56102175567824
83004,-7.745966692414834,60.76006172231476
6906,-8.426149773176359,71.43840616245932
67732,-7.681145747868608,59.91236303344202
51798,8.426149773176359,71.32124344445452
61244,-2.6457513110645907,7.802399950321782
46594,6.164414002968976,38.261566019283975
69656,-9.433981132056603,89.22438483845637
49168,-6.557438524302,43.16710998134421
81280,8.426149773176359,71.9028577339673
83573,-8.366600265340756,70.27615601217379
75211,-5.656854249492381,32.53000394277734
23422,8.660254037844387,75.08216768065962
8764,4.898979485566356,24.74406430173328
76408,-7.14142842854285,51.60512222855055
1105,-8.602325267042627,74.53319709276508
33350,9.327379053088816,87.88341776895994
30499,-3.3166247903554,11.079638596248042
56637,4.123105625617661,17.8971177994807
68368,-6.928203230275509,48.76004239641931
32541,9.899494936611664,98.41245230493855
16293,-8.717797887081348,76.84352049001542
79983,4.69041575982343,22.03802036109512
16241,-7.280109889280518,53.25635681721776
25801,-5.477225575051661,30.676073387643463
24093,-6.082762530298219,37.61394622622337
26083,-6.0,36.870195086872
13505,-8.0,64.32374406005583
37808,6.708203932499369,45.16019802573608
89212,-2.6457513110645907,7.324643393259866
14151,8.12403840463596,66.69203636774782
27268,2.8284271247461903,8.3516875525949
23874,-9.219544457292889,85.47560317780022
62651,-7.745966692414834,60.35887514226933
18540,9.055385138137416,82.51919413335865
13228,-5.385164807134504,29.00635193401502
74356,-4.47213595499958,20.30708164319053
76082,8.0,64.2731841911035
78395,-6.4031242374328485,41.14142935600997
51461,3.1622776601683795,10.019983801883814
69806,-6.557438524302,43.54649819455305
44473,-8.717797887081348,76.63417821763761
38898,-9.055385138137416,82.73913322994294
27320,6.324555320336759,40.77925770936075
48666,-3.4641016151377544,12.81221141339902
57136,-8.306623862918075,69.74401150222587
74632,9.327379053088816,87.90828888773775
57417,5.0,25.61195593707509
56079,5.385164807134504,29.325021012605717
70737,6.4031242374328485,41.76096888298466
55808,9.486832980505138,90.2697386300462
9592,-2.449489742783178,6.02617398654931
87575,5.0,25.535106596286973
63506,8.602325267042627,74.07854683900112
88565,4.58257569495584,21.184221110906755
81037,7.937253933193772,63.44646146657221
11781,-8.18535277187245,67.79143616181138
42988,6.164414002968976,38.613638160157805
33187,-6.082762530298219,37.42746706244785
26463,-9.539392014169456,91.52528112279794
56070,-9.0,81.38421679201495
87844,4.242640687119285,18.326713465476946
25436,4.58257569495584,21.55609467626475
55238,-9.38083151964686,88.69482953285156
84693,-4.358898943540674,19.747832832690783
15091,-1.0,1.9004904962383276
69133,4.795831523312719,23.90197686333867
22577,-9.055385138137416,82.65182429726453
53968,-9.38083151964686,88.23180794534055
42129,-5.0,25.52799473179801
61822,-6.708203932499369,45.60563671512069
29543,8.48528137423857,72.76256519744675
45126,4.358898943540674,19.609580675191552
39465,-1.4142135623730951,2.55728299859318
427,-6.782329983125268,46.791984511506776
41164,-6.928203230275509,48.62251282283295
25544,-7.211102550927978,52.54089503824274
80290,3.0,9.703111804838194
16516,4.69041575982343,22.54350736667393
79457,-4.47213595499958,20.260061759014548
35297,-4.123105625617661,17.624134792344815
32889,7.483314773547883,56.55611151363375
61774,9.38083151964686,88.09627979332105
18840,-6.4031242374328485,41.79196180673558
89632,9.38083151964686,88.05757338232755
4744,8.426149773176359,71.77188375853333
50168,-8.12403840463596,66.78651191605948
18995,0.0,0.0825894616876099
70273,-7.071067811865476,50.423069228047936
25041,4.47213595499958,20.03296170858177
31198,-7.681145747868608,59.76186457171564
82322,8.306623862918075,69.6410838694668
79913,5.5677643628300215,31.32939039400968
75498,-8.426149773176359,71.3188709510043
6490,-6.782329983125268,46.22496813227161
27531,9.899494936611664,98.94996476185742
74023,-8.54400374531753,73.81436008163159
9945,-8.888194417315589,79.3878674794254
74047,-3.741657386773941,14.37909270581913
78266,-6.928203230275509,48.91019507217118
20412,6.708203932499369,45.65235722798092
80786,-2.8284271247461903,8.020992309615282
51969,6.244997998398398,39.49108088952341
89099,-8.660254037844387,75.83965381606052
34279,5.916079783099616,35.19710142004171
68400,9.327379053088816,87.18560766202059
28124,9.055385138137416,82.23369615114022
44042,-2.8284271247461903,8.792021730602507
3010,0.0,0.7344445910089537
61109,9.327379053088816,87.56046679841074
69954,7.416198487095663,55.241653225761866
71293,8.717797887081348,76.1109562466559
44832,-8.717797887081348,76.33281903733382
85461,5.5677643628300215,31.552205000962363
57078,6.48074069840786,42.9957696512393
32881,-6.557438524302,43.206249910002384
44846,8.774964387392123,77.489208428077
5339,-4.0,16.761815393766565
51567,-4.123105625617661,17.162922691042194
60283,-9.899494936611664,98.46059974144164
73038,-7.810249675906654,61.63561799678657
31063,5.830951894845301,34.533308707235555
77484,-8.774964387392123,77.59336871948634
17229,-9.797958971132712,96.52425916721748
60946,8.660254037844387,75.52751177760796
40120,-9.327379053088816,87.97683089627179
15557,9.746794344808963,95.44224994274508
66476,4.898979485566356,24.02260091605559
47890,-8.246211251235321,68.7403922678549
616,-9.9498743710662,99.81304072884988
84129,8.602325267042627,74.67333696639217
79117,8.06225774829855,65.3729940229008
11921,8.660254037844387,75.15084319631266
71540,3.0,9.363273479350976
58267,9.055385138137416,82.40172950766717
35905,-6.082762530298219,37.19258097324328
25430,-6.48074069840786,42.2547721469541
40505,-9.643650760992957,93.6531079129902
43508,-6.0,36.87284401351214
65841,9.643650760992957,93.17022967971076
28327,-1.4142135623730951,2.330774391015933
77688,-7.211102550927978,52.08734533097813
14507,-9.16515138991168,84.26323933431847
